reference,ean13,upc,name,description_short,description,manufacturer_name,supplier_name,supplier_reference,quantity,price,tax_rate,ecotax,width,height,depth,weight,attr_taille,attr_couleur,attr_dimension,"feat_frame size","attr_type de papier"
afficheen_4_18,3236742069234,,"Affiche encadrée The adventure begins","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,94.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,80x120cm,,
afficheen_5_19,5554884169767,,"Affiche encadrée Today is a good day","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,34.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,40x60cm,,
afficheen_5_20,8064194917738,,"Affiche encadrée Today is a good day","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,58.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,60x90cm,,
afficheen_5_21,4656322355993,,"Affiche encadrée Today is a good day","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Affiche imprimée sur papier rigide, finition mate et surface lisse.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Le meilleur reste à venir ! Faites parler vos murs avec cette affiche encadrée chargée d'optimisme sera du plus bel effet dans un bureau ou un open-space. Cadre en bois peint avec passe-partout integré pour un effet de profondeur.</span></p>","Graphic Corner",,,300,94.8,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,80x120cm,,
demo_11,4864448943049,,"Mug The best is yet to come","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Mug en céramique blanche, 325ml.</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le meilleur reste à venir ! Commencez la journée avec une pensée positive. Diamètre : 8,2cm / Hauteur : 9,5cm / Poids : 0.43kg. Passe au lave-vaisselle.</span></p>","Studio Design",,,300,11.9,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
demo_12,3676854498383,,"Mug The adventure begins","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Mug en céramique blanche. 325ml</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">L'aventure commence avec une tasse de café. Partez à la conquête de votre journée ! Diamètre : 8,2cm / Hauteur : 9,5cm / Poids : 0.43kg. Passe au lave-vaisselle.</span></p>","Studio Design",,,300,11.9,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
demo_13,2790925939372,,"Mug Today is a good day","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Mug en céramique blanche. 325ml</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Ajoutez un nuage d'optimisme à votre café et démarrez la journée du bon pied, même les jours de réveil difficile ! Diamètre : 8,2cm / Hauteur : 9,5cm / Poids : 0.43kg. Passe au lave-vaisselle.</span></p>","Studio Design",,,300,11.9,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,Ligné,
coussinre_9_22,7089027303353,,"Coussin renard","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coussin déhoussable avec zip invisible au dos. 32x32cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Ce coussin imprimé renard ajoutera une touche graphique et colorée à votre canapé, fauteuil ou lit. Optez pour une déco moderne et zen qui invite à la relaxation. Housse 100% coton lavable en machine à 60° / Intérieur 100% polyester hypoallergénique. </span></p>","Studio Design",,,300,22.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,,Blanc,,,
coussinre_9_23,2476169725392,,"Coussin renard","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coussin déhoussable avec zip invisible au dos. 32x32cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Ce coussin imprimé renard ajoutera une touche graphique et colorée à votre canapé, fauteuil ou lit. Optez pour une déco moderne et zen qui invite à la relaxation. Housse 100% coton lavable en machine à 60° / Intérieur 100% polyester hypoallergénique. </span></p>","Studio Design",,,300,22.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,,Noir,,,
coussinou_10_24,8113766993501,,"Coussin ours brun","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coussin déhoussable avec zip invisible au dos. 32x32cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Ce coussin imprimé ours brun ajoutera une touche graphique et colorée à votre canapé, fauteuil ou lit. Optez pour une déco moderne et zen qui invite à la relaxation. Housse 100% coton lavable en machine à 60° / Intérieur 100% polyester hypoallergénique. </span></p>","Studio Design",,,300,22.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,,Blanc,,Ligné,
coussinou_10_25,5140326067936,,"Coussin ours brun","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coussin déhoussable avec zip invisible au dos. 32x32cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Ce coussin imprimé ours brun ajoutera une touche graphique et colorée à votre canapé, fauteuil ou lit. Optez pour une déco moderne et zen qui invite à la relaxation. Housse 100% coton lavable en machine à 60° / Intérieur 100% polyester hypoallergénique. </span></p>","Studio Design",,,300,22.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,,Noir,,Ligné,
coussinco_11_26,9360329635776,,"Coussin colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coussin déhoussable avec zip invisible au dos. 32x32cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Ce coussin imprimé colibri ajoutera une touche graphique et colorée à votre canapé, fauteuil ou lit. Optez pour une déco moderne et zen qui invite à la relaxation. Housse 100% coton lavable en machine à 60° / Intérieur 100% polyester hypoallergénique. </span></p>","Studio Design",,,300,22.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,,Blanc,,,
coussinco_11_27,3380670251679,,"Coussin colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Coussin déhoussable avec zip invisible au dos. 32x32cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">Ce coussin imprimé colibri ajoutera une touche graphique et colorée à votre canapé, fauteuil ou lit. Optez pour une déco moderne et zen qui invite à la relaxation. Housse 100% coton lavable en machine à 60° / Intérieur 100% polyester hypoallergénique. </span></p>","Studio Design",,,300,22.68,20,0.000000,0.000000,0.000000,0.000000,0.000000,,Noir,,,
demo_18,6585211186283,,"Illustration vectorielle Renard","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Image vectorielle au format .svg. Téléchargement en vue d'une utilisation privée, personnelle et non commerciale. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Vous avez un projet créatif d'impression sur-mesure ? L'illustration vectorielle Renard peut être utilisée pour l'impression sur tout support, sans limite de taille. </span></p>","Graphic Corner",,,300,9,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
demo_19,3529330932097,,"Illustration vectorielle Ours brun","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Image vectorielle au format .svg. Téléchargement en vue d'une utilisation privée, personnelle et non commerciale. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Vous avez un projet créatif d'impression sur-mesure ou sur un support particulier ? L'illustration vectorielle Ours brun peut être utilisée pour l'impression sur tout support, sans limite de taille. </span></p>","Graphic Corner",,,300,9,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
demo_20,5891021378236,,"Illustration vectorielle Colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Image vectorielle au format .svg. Téléchargement en vue d'une utilisation privée, personnelle et non commerciale. </span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Vous avez un projet créatif d'impression sur-mesure ou sur un support particulier ? L'illustration vectorielle Colibri peut être utilisée pour l'impression sur tout support, sans limite de taille. </span></p>","Graphic Corner",,,300,9,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
demo_21,8867114371495,,"Pack Mug + Affiche encadrée","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Mug <span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The Adventure Begins</span> + Affiche encadrée Today is a good day 40x60cm </span></p>",,,,,100,35,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,
carnetde_16_28,5822362627668,,"Carnet de notes Renard","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Ligné
carnetde_16_29,8969802659907,,"Carnet de notes Renard","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Vierge
carnetde_16_30,8381925693137,,"Carnet de notes Renard","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Quadrillé
carnetde_16_31,5000220762565,,"Carnet de notes Renard","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Pointillés
carnetde_17_32,7855327010019,,"Carnet de notes Ours brun","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Ligné
carnetde_17_33,5275973039004,,"Carnet de notes Ours brun","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Vierge
carnetde_17_34,1813884441567,,"Carnet de notes Ours brun","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Quadrillé
carnetde_17_35,1241503367425,,"Carnet de notes Ours brun","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Pointillés
carnetde_18_36,8765863789027,,"Carnet de notes Colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Ligné
carnetde_18_37,3104809119463,,"Carnet de notes Colibri","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Carnet 120 pages avec couverture rigide en carton recyclé. 16x22cm</span></p>","<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#000000;"">Le carnet de notes Renard est idéal pour consigner vos idées les plus ingénieuses. En voyage, au bureau ou à la maison, sa qualité de fabrication et son design attachant vous donneront l'envie d'écrire ! Papier 90g/m2, reliure double spirale.</span></p>","Graphic Corner",,,300,15.48,20,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,Vierge
